"Location_skey";"Country";"State";"Region";"City";"Address";"PostalCode";"District";"SubDistrict";"SubSubDistrict";"SubSubSubDistrict";"DistrictCode";"SubDistrictCode";"SubSubDistrictCode";"SubSubSubDistrictCode";"Latitude";"Longitude";"IsGarage";"NameGarage"
"49362";"NLD";"NH";"Amsterdam";"Amsterdam";"Warmondstraat 93";"1058KS";"Nieuw West";"Osdorp Oost";"Osdorpplein e.o.";"Osdorpplein e.o.";"F";"F81";"F81c";"-1";52.35568;4.84961;NA;NA
"49376";"NLD";"NH";"Amsterdam";"Amsterdam";"Johan Huijsenstraat 44";"1087LC";"Centrum";"Grachtengordel West";"Felix Meritisbuurt";"Felix Meritisbuurt";"A";"A02";"A02c";"-1";52.35106;5.00893;NA;NA
"49379";"NLD";"NH";"Amsterdam";"Amsterdam";"Javaplantsoen 24";"1095CS";"Oost";"Indische Buurt Oost";"Noordoostkwadrant Indische buurt";"Noordoostkwadrant Indische buurt";"M";"M32";"M32a";"-1";52.36268;4.94435;NA;NA
"47957";"NLD";"NH";"Amsterdam";"Amsterdam";"Troelstralaan 287";"1067JV";"Nieuw West";"Eendracht";"Buurt 10";"Buurt 10";"F";"F79";"F79b";"-1";52.374565;4.801397;NA;NA
"48081";"NLD";"NH";"Amsterdam";"Amsterdam";"Zuiderzeepark 64";"1024MH";"Noord";"Nieuwendam Noord";"Nieuwendam Noord";"Nieuwendam Noord";"N";"-1";"-1";"-1";52.388361;4.958777;NA;NA
"24933";"NLD";"NH";"Amsterdam";"Amsterdam";"Jan van Riebeekstraat 1";"1057ZW";"West";"Chassébuurt";"De Wester Quartier";"De Wester Quartier";"E";"E75";"E75c";"-1";52.370714;4.858749;NA;NA
"24942";"NLD";"NH";"Amsterdam";"Amsterdam";"Johannes Verhulststraat 133";"1071NA";"Zuid";"Museumkwartier";"Banpleinbuurt";"Banpleinbuurt";"K";"K47";"K47e";"-1";52.353927;4.870344;NA;NA
"25541";"NLD";"NH";"Amsterdam";"Amsterdam";"Albert Luthulistraat 37";"1091NS";"Oost";"Oosterparkbuurt";"Oosterparkbuurt Noordwest";"Oosterparkbuurt Noordwest";"M";"M28";"M28a";"-1";52.352553;4.918955;NA;NA
"25547";"NLD";"NH";"Amsterdam";"Amsterdam";"Karimatastraat 1";"1095XP";"Oost";"Indische Buurt Oost";"Noordoostkwadrant Indische buurt";"Noordoostkwadrant Indische buurt";"M";"M32";"M32a";"-1";52.364579;4.945994;NA;NA
"25750";"NLD";"NH";"Amsterdam";"Amsterdam";"Naardermeerstraat 1";"1024NG";"Noord";"Nieuwendam Noord";"Nieuwendam Noord";"Nieuwendam Noord";"N";"-1";"-1";"-1";52.389669;4.957135;NA;NA
"47222";"NLD";"NH";"Amsterdam";"Amsterdam";"Woestduinstraat 88";"1058TJ";"Nieuw West";"Osdorp Oost";"Osdorpplein e.o.";"Osdorpplein e.o.";"F";"F81";"F81c";"-1";52.351749;4.847542;NA;NA
"47437";"NLD";"NH";"Amsterdam";"Amsterdam";"Wedderborg 70";"1082TB";"Centrum";"De Weteringschans";"Den Texbuurt";"Den Texbuurt";"A";"A07";"A07f";"-1";52.333667;4.873372;NA;NA
"47554";"NLD";"NH";"Amsterdam";"Amsterdam";"Kroonweg 2";"1060RR";"Nieuw West";"Middelveldsche Akerpolder";"De Aker Oost";"De Aker Oost";"F";"F84";"F84c";"-1";52.349177;4.788655;NA;NA
"47960";"NLD";"NH";"Amsterdam";"Amsterdam";"Amstelveenseweg 180II";"1075XP";"West";"Chassébuurt";"De Wester Quartier";"De Wester Quartier";"E";"E75";"E75c";"-1";52.352672;4.855813;NA;NA
"44880";"NLD";"NH";"Amsterdam";"Amsterdam";"Willemsparkweg 59";"1071GS";"Zuid";"Museumkwartier";"Banpleinbuurt";"Banpleinbuurt";"K";"K47";"K47e";"-1";52.357287;4.875645;NA;NA
"45663";"NLD";"NH";"Amsterdam";"Amsterdam";"James Cookstraat 41";"1056RX";"Nieuw West";"Slotervaart Noord";"Emanuel van Meterenbuurt";"Emanuel van Meterenbuurt";"F";"F85";"F85b";"-1";52.372599;4.851844;NA;NA
"44657";"NLD";"NH";"Amsterdam";"Amsterdam";"H.T. Zwiersplantsoen 35";"1064DL";"Centrum";"Burgwallen Nieuwe Zijde";"Hemelrijk";"Hemelrijk";"A";"A01";"A01b";"-1";52.372656;4.82077;NA;NA
"49372";"NLD";"NH";"Amsterdam";"Amsterdam";"Schinkelhavenkade 36";"1075VS";"West";"Chassébuurt";"De Wester Quartier";"De Wester Quartier";"E";"E75";"E75c";"-1";52.35522;4.85418;NA;NA
"49416";"NLD";"NH";"Amsterdam";"Amsterdam";"Eerste Helmersstraat 2";"1054DE";"West";"Helmersbuurt";"Cremerbuurt Oost";"Cremerbuurt Oost";"E";"E20";"E20c";"-1";52.364355;4.878188;NA;NA
